Company,Ticker
Heritage Foods Ltd.,HERITGFOOD.NS
Hero MotoCorp Ltd.,HEROMOTOCO.NS
Hexaware Technologies Ltd.,HEXAWARE.NS
Himachal Fut Com Ltd.,HFCL.NS
Himadri Speciality Chemical Ltd.,HSCL.NS
Himatsingka Seide Ltd.,HIMATSEIDE.NS
Hindalco Industries Ltd.,HINDALCO.NS
Hindustan Aeronautics Ltd.,HAL.NS
Hindustan Copper Ltd.,HINDCOPPER.NS
Hindustan Petroleum Corporation Ltd.,HINDPETRO.NS
Hindustan Unilever Ltd.,HINDUNILVR.NS
Hindustan Zinc Ltd.,HINDZINC.NS
Honeywell Automation India Ltd.,HONAUT.NS
Housing & Urban Development Corporation Ltd.,HUDCO.NS
Housing Development Finance Corporation Ltd.,HDFC.NS
ICICI Bank Ltd.,ICICIBANK.NS
ICICI Lombard General Insurance Company Ltd.,ICICIGI.NS
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI.NS
ICICI Securities Ltd.,ISEC.NS
ICRA Ltd.,ICRA.NS
IDBI Bank Ltd.,IDBI.NS
IDFC First Bank Ltd.,IDFCFIRSTB.NS
IDFC Ltd.,IDFC.NS
IFB Industries Ltd.,IFBIND.NS
IFCI Ltd.,IFCI.NS
IRB Infrastructure Developers Ltd.,IRB.NS
IRCON International Ltd.,IRCON.NS
ITC Ltd.,ITC.NS
ITD Cementation India Ltd.,ITDCEM.NS
ITI Ltd.,ITI.NS
India Cements Ltd.,INDIACEM.NS
India Tourism Development Corporation Ltd.,ITDC.NS
Indiabulls Housing Finance Ltd.,IBULHSGFIN.NS
Indiabulls Integrated Services Ltd.,IBULISL.NS
Indiabulls Real Estate Ltd.,IBREALEST.NS
Indiabulls Ventures Ltd.,IBVENTURES.NS
Indian Bank,INDIANB.NS
Indian Energy Exchange Ltd.,IEX.NS
Indian Hotels Co. Ltd.,INDHOTEL.NS
Indian Oil Corporation Ltd.,IOC.NS
Indian Overseas Bank ,IOB.NS
IndoStar Capital Finance Ltd.,INDOSTAR.NS
Indoco Remedies Ltd.,INDOCO.NS
Indraprastha Gas Ltd.,IGL.NS
IndusInd Bank Ltd.,INDUSINDBK.NS
Infibeam Avenues Ltd.,INFIBEAM.NS
Info Edge (India) Ltd.,NAUKRI.NS
Infosys Ltd.,INFY.NS
Inox Leisure Ltd.,INOXLEISUR.NS
Inox Wind Ltd.,INOXWIND.NS
Intellect Design Arena Ltd.,INTELLECT.NS
InterGlobe Aviation Ltd.,INDIGO.NS
Ipca Laboratories Ltd.,IPCALAB.NS
J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM.NS
J.K. Cement Ltd.,JKCEMENT.NS
JK Lakshmi Cement Ltd.,JKLAKSHMI.NS
JK Paper Ltd.,JKPAPER.NS
JK Tyre & Industries Ltd.,JKTYRE.NS
JM Financial Ltd.,JMFINANCIL.NS
JSW Energy Ltd.,JSWENERGY.NS
JSW Steel Ltd.,JSWSTEEL.NS
Jagran Prakashan Ltd.,JAGRAN.NS
Jai Corp Ltd.,JAICORPLTD.NS
Jain Irrigation Systems Ltd.,JISLJALEQS.NS
Jaiprakash Associates Ltd.,JPASSOCIAT.NS
Jammu & Kashmir Bank Ltd.,J&KBANK.NS
Jamna Auto Industries Ltd.,JAMNAAUTO.NS
Jet Airways (India) Ltd.,JETAIRWAYS.NS
Jindal Saw Ltd.,JINDALSAW.NS
Jindal Stainless (Hisar) Ltd.,JSLHISAR.NS
Jindal Stainless Ltd.,JSL.NS
Jindal Steel & Power Ltd.,JINDALSTEL.NS
Jubilant Foodworks Ltd.,JUBLFOOD.NS
Jubilant Life Sciences Ltd.,JUBILANT.NS
Justdial Ltd.,JUSTDIAL.NS
Jyothy Laboratories Ltd.,JYOTHYLAB.NS
K.P.R. Mill Ltd.,KPRMILL.NS
KEI Industries Ltd.,KEI.NS
KIOCL Ltd.,KIOCL.NS
KNR Constructions Ltd.,KNRCON.NS
KRBL Ltd.,KRBL.NS
Kajaria Ceramics Ltd.,KAJARIACER.NS
Kalpataru Power Transmission Ltd.,KALPATPOWR.NS
Kansai Nerolac Paints Ltd.,KANSAINER.NS
Karnataka Bank Ltd.,KTKBANK.NS
Karur Vysya Bank Ltd.,KARURVYSYA.NS
Kaveri Seed Company Ltd.,KSCL.NS
Kec International Ltd.,KEC.NS
Kirloskar Oil Eng Ltd.,KIRLOSENG.NS
Kolte-Patil Developers Ltd.,KOLTEPATIL.NS
Kotak Mahindra Bank Ltd.,KOTAKBANK.NS
L&T Finance Holdings Ltd.,L&TFH.NS
L&T Technology Services Ltd.,LTTS.NS
LIC Housing Finance Ltd.,LICHSGFIN.NS
Lakshmi Machine Works Ltd.,LAXMIMACH.NS
Lakshmi Vilas Bank Ltd.,LAKSHVILAS.NS
